date,district,commercial_area,business_type,sales,transactions,customer_count
2024-01-01,강남구,역삼1동,카페,23000000,1200,8500
2024-02-01,강남구,역삼1동,카페,24500000,1260,8800
2024-03-01,강남구,역삼1동,카페,26000000,1305,9100
2024-04-01,강남구,역삼1동,카페,27800000,1360,9500
2024-05-01,강남구,역삼1동,카페,29200000,1400,9800
2024-01-01,강남구,역삼1동,헬스장,18000000,850,6200
2024-02-01,강남구,역삼1동,헬스장,18200000,860,6250
2024-03-01,강남구,역삼1동,헬스장,17700000,830,6100
2024-04-01,강남구,역삼1동,헬스장,16800000,795,5900
2024-05-01,강남구,역삼1동,헬스장,16000000,770,5700
2024-01-01,마포구,상암동,한식,15000000,980,5400
2024-02-01,마포구,상암동,한식,15200000,990,5450
2024-03-01,마포구,상암동,한식,16000000,1010,5600
2024-04-01,마포구,상암동,한식,16500000,1025,5750
2024-05-01,마포구,상암동,한식,17100000,1040,5900
2024-01-01,마포구,상암동,분식,9000000,740,4200
2024-02-01,마포구,상암동,분식,8700000,720,4100
2024-03-01,마포구,상암동,분식,8200000,690,3950
2024-04-01,마포구,상암동,분식,7800000,670,3820
2024-05-01,마포구,상암동,분식,7400000,650,3700
